speaker,THOUGHT_F1,THOUGHT_F2,FLEECE_F1,FLEECE_F2,KIT_F1,KIT_F2,DRESS_F1,DRESS_F2,GOOSE_F1,GOOSE_F2,TRAP_F1,TRAP_F2,START_F1,START_F2,STRUT_F1,STRUT_F2,NURSE_F1,NURSE_F2,LOT_F1,LOT_F2
CC_f_289,0.075300917,-0.192912466,-0.000413183,0.059615114,0.05091269,-0.109808142,-0.026031427,0.122077892,-0.004501407,-0.022941469,0.133038101,-0.091075429,0.002863575,0.011347533,0.037029205,0.00733642,-0.103395792,-0.007581753,-0.028490336,0.053680777
CC_f_292,-0.26224225,0.045692029,0.00843313,0.029424077,0.251887847,-0.246853079,-0.077341658,0.061478438,0.032962965,-0.203210824,-0.273264417,0.134806831,0.037422113,-0.117682631,-0.019963421,-0.002649137,0.096473042,0.138019198,-0.058497167,-0.037056955
CC_f_295,0.226471563,-0.237236323,0.069947667,-0.055069504,0.038384486,0.120719665,-0.019175992,0.038772127,-0.084759666,-0.118406783,0.056125613,-0.105804285,0.046014768,0.117872933,-0.140039593,0.055321443,-0.035899974,-0.041187321,0.006981367,0.073195372
CC_f_297,0.001211524,0.145656161,0.190516423,-0.3845633,0.243611634,0.248571721,-0.182860953,-0.436386565,0.025914214,0.37791534,-0.362699179,-0.285122465,-0.014422073,0.32039466,0.057531243,0.428579535,-0.192402572,0.701244701,0.003137013,-0.188504621
CC_f_302,-0.183350705,-0.037696875,0.013548832,-0.192103425,0.10699219,0.166058529,0.061666342,0.038694149,0.07014571,-0.134698232,-0.065473406,0.137224462,0.041614626,-0.075212972,-0.172380876,-0.079852822,-0.047312585,0.054795204,0.035871295,-0.014081182
CC_f_310,-0.086030887,-0.311827082,-0.018316253,0.018490504,-0.039598936,-0.326477028,-0.064856775,0.044346618,-0.053837034,-0.13003024,-0.054590244,0.428169359,0.00892952,0.112846076,0.049352101,0.042003405,0.422702987,-0.328261613,0.017501702,-0.104465181
CC_f_317,-0.000248087,0.044236297,-0.062135899,0.155577736,0.120046226,-0.152738012,0.185755986,0.19890794,-0.054023634,0.044444009,0.054496464,-0.166584484,0.063189637,-0.03797929,-0.064677956,-0.042564421,-0.14944746,0.022714194,-0.064239553,0.045610985
CC_f_323,0.105153289,0.820726072,-0.08178996,-0.108641886,-0.022893349,-0.122507719,-0.076571533,-0.054978939,0.101642491,-0.152281414,-0.308125979,0.313847446,0.036037971,-0.22566364,-0.095889513,-0.218123875,0.053030345,0.05725217,0.151652788,-0.176083829
CC_f_326,0.117364495,-0.194646178,0.09238667,-0.072004854,0.019558619,0.063329259,-0.262555505,-0.243569759,0.052407251,0.01351231,-0.296753743,0.123891596,-0.004060065,0.077659847,0.197234247,0.052526793,-0.070089719,0.198863979,0.208762992,-0.054582608
CC_f_330,0.159706005,0.030014177,0.17010981,-0.246972543,-0.092166076,-0.131493642,-0.012234521,0.040262387,0.194829513,0.067636444,-0.149127974,0.163022091,0.312775336,-0.103804329,-0.391394639,-0.056275623,0.082933893,0.053723026,-0.354427737,0.001526975
CC_f_339,-0.130639314,-0.244897288,0.177352645,-0.674955167,0.050936444,0.070314586,-0.020447169,-0.695687044,0.00727518,0.111670253,-0.245102698,0.17446952,0.106599422,0.339575164,0.002905119,0.445662463,-0.095975195,0.579374014,-0.025309893,-0.168089008
