Idnumber,F1,F2,F2-F1,sylldur,o-dur,i-dur,s-dur,s:i-ratio,s-levelDiff,s-ampDiff,s-freqH,s-freqM,s-freqMH,s-var
326,0.779555526,-0.324086178,-0.595862773,1.207461238,1.020384745,-0.838572676,1.397806724,2.144156163,0.33035651,0.632827871,-0.656811898,0.821398024,0.632176287,-0.254436524
327,-1.017202705,1.895583215,2.143494146,1.416444914,-0.539259568,3.780263531,0.76698407,-1.421824928,0.71655206,-0.607855692,-0.785260686,0.83175708,0.641226295,-0.52160731
328,0.756811751,-0.263718601,-0.531255298,-0.046440817,0.630473667,-0.838572676,-0.179249911,0.633147226,0.91769995,-0.031781397,-0.225839273,0.206707605,0.095162763,-1.065249777
329,1.211687253,0.948276612,0.420628159,-1.300342872,-0.149348489,-0.838572676,-1.440895219,-0.575659923,1.958533688,0.252823642,3.796571891,0.733585107,0.55546007,0.252350256
330,-0.937599492,-0.124408806,0.239727231,0.580510211,1.410295823,-0.838572676,0.136161416,0.935349014,-0.186081949,-0.4696533,-0.752583592,-0.232356981,-0.288418326,0.627392498
331,-0.232542465,1.677331203,1.643863009,-0.88237552,-0.539259568,-0.178738932,-0.810072565,-0.65121037,2.353218625,-0.205721009,-0.545396914,1.271618516,1.025503538,-1.103726774
332,0.699952313,-0.486614272,-0.716463392,2.043395942,0.240562589,2.460596044,1.713218051,-0.76453604,-0.782675574,-0.481291853,-0.017696616,-0.223910366,-0.281039089,0.710744079
333,0.472514563,0.056693927,-0.126381792,0.998477562,-0.929170646,2.460596044,1.082395397,-0.991187381,0.715960895,0.266944213,-0.561040203,0.601865732,0.440385743,-1.424054169
334,-0.039220377,0.177429082,0.179426921,-0.255424493,-0.539259568,0.481094812,-0.179249911,-0.696540638,-0.389905922,0.634453355,0.492448435,-0.671421566,-0.671999415,-0.140501202
335,-0.187054915,-0.403028395,-0.302975555,-0.046440817,-0.929170646,-0.178738932,0.76698407,0.482046333,0.78654812,0.666569974,-0.785260686,0.963715511,0.756509468,-1.345232318
336,3.906824599,0.753242899,-0.781070866,-1.091359196,-0.929170646,-0.178738932,-0.810072565,-0.65121037,0.242991646,-0.453222908,-0.593369668,1.755466095,1.448208506,0.079255162
337,-0.187054915,-0.403028395,-0.302975555,-0.046440817,-0.929170646,-0.178738932,0.76698407,0.482046333,0.78654812,0.666569974,-0.785260686,0.963715511,0.756509468,-1.345232318
338,-0.039220377,-0.588774788,-0.531255298,-0.464408169,-0.539259568,-0.838572676,0.136161416,0.935349014,-0.661709774,0.270214798,-0.401478651,2.459244392,2.063052095,0.518264584
339,-0.983087042,-1.977229074,-1.461602931,-0.464408169,-0.149348489,-0.838572676,-0.179249911,0.633147226,0.811282503,0.640827229,-0.321610967,1.611714278,1.322622247,0.743416444
340,0.563489663,0.140279803,-0.083310142,-0.046440817,0.630473667,-0.838572676,-0.179249911,0.633147226,0.066547779,-0.267459928,-0.704697745,-0.8470474,-0.82543185,0.296207895
341,0.245076812,-0.505188911,-0.561405453,-0.046440817,-0.149348489,-0.838572676,0.451572743,1.237550801,2.300970741,1.439288023,-0.017696616,-0.795730233,-0.780599505,-1.261885865
342,0.39291135,-0.421603035,-0.539869628,-0.464408169,0.630473667,-0.838572676,-0.810072565,0.028743652,1.068602893,1.705838661,-0.593369668,0.083992639,-0.012045019,-0.721969301
343,-0.357633228,-0.338017158,-0.178067771,1.207461238,-0.149348489,0.481094812,1.713218051,0.391385796,0.18354918,-0.938253797,-0.689315177,1.007701654,0.794937192,-0.056556193
344,-0.789764954,0.711449961,0.95902378,-0.255424493,-0.929170646,1.140928556,-0.179249911,-1.028962604,-0.13350095,0.297947208,-0.034295884,0.118894688,0.018446545,-0.562715287
345,-1.82460672,-1.252818142,-0.470954989,-0.673391844,-0.929170646,-0.838572676,0.136161416,0.935349014,-0.239286361,-0.024235651,-0.225839273,-0.978766776,-0.940506177,0.976712602
346,0.30193625,-0.416959375,-0.501105144,-0.673391844,-0.539259568,0.481094812,-0.810072565,-1.059182783,1.090292231,-0.580249544,0.222167156,-0.003979648,-0.088900467,-0.315068458
347,1.154827815,-0.207994683,-0.630320093,-0.046440817,-0.929170646,-0.838572676,1.082395397,1.841954376,1.608751284,1.603605596,-0.752583592,-0.012824688,-0.096627781,-2.305719629
348,-0.528211541,-1.327116699,-1.030886434,-0.88237552,-0.929170646,-0.838572676,-0.179249911,0.633147226,-0.248267948,-1.506682549,-0.082181732,1.875153029,1.5527709,0.320708295
349,-0.505467766,0.270302278,0.442163984,1.416444914,1.020384745,0.481094812,1.082395397,0.028743652,0.145561325,-1.052159869,1.25862199,-0.100637605,-0.173343999,0.736081786
350,-1.267384231,0.344600835,0.799658676,-0.255424493,-0.539259568,-0.838572676,0.451572743,1.237550801,0.198380785,0.427434912,0.414058173,0.435881788,0.295376776,0.255430843
351,-0.243914352,0.172785422,0.252648725,1.207461238,0.630473667,1.8007623,0.451572743,-1.007376762,1.409921095,0.333027336,-0.785260686,-0.839716376,-0.819027229,-0.63712074
352,-1.153665355,0.047406607,0.480928469,-0.464408169,-0.929170646,-0.838572676,0.451572743,1.237550801,0.177695615,0.35486522,-0.257560388,0.743784793,0.564370846,-0.080192172
353,-0.880740054,0.637151404,0.92456646,1.207461238,0.630473667,-0.178738932,1.397806724,0.935349014,1.162153599,0.650319605,-0.785260686,0.919729367,0.718081744,0.106485751
354,-0.494095878,0.446761351,0.601529088,-0.464408169,-0.149348489,-0.838572676,-0.179249911,0.633147226,-1.134796741,-0.111048424,1.661349787,-0.179924222,-0.242611365,1.197521866
355,-0.369005115,0.558209187,0.657522232,0.998477562,0.240562589,-0.178738932,1.397806724,0.935349014,-1.625519719,0.617233186,0.013589963,-0.627515107,-0.633641306,-0.157080795
356,2.087322593,-0.941692934,-1.664039684,-0.255424493,0.240562589,-0.178738932,-0.494661238,-0.42455903,-1.255683998,-1.135097064,0.205133352,-0.53970219,-0.556925088,1.909487031
357,-0.130195477,0.191360061,0.226805736,0.580510211,1.020384745,0.481094812,-0.179249911,-0.696540638,0.183458463,-0.924516218,-0.704697745,0.33842698,0.21023709,-0.221685004
358,1.473240666,3.154015025,2.367466724,1.62542859,0.630473667,-0.178738932,2.028629378,1.388651695,-0.65116436,2.172398181,-0.593369668,0.655812506,0.487515398,-1.007784583
359,1.473240666,3.154015025,2.367466724,1.62542859,0.630473667,-0.178738932,2.028629378,1.388651695,-0.65116436,2.172398181,-0.593369668,0.655812506,0.487515398,-1.007784583
